#  #1, #2, #3
5.38,207668340033.69,10012.39
5.39,215066753509.90,10041.67
4.69,211696728535.88,10068.53
4.74,214988074853.60,10049.31
5.16,215362181163.49,10056.81
5.15,212260866330.45,10092.22
6.16,208660314661.39,10053.97
5.47,216594020407.44,10061.40
5.16,214186527134.45,10057.62
4.97,215620742933.16,10074.24
4.50,215971631323.20,10041.19
4.13,216448764844.62,10058.68
5.60,208979903811.85,10015.74
4.75,214998210437.69,10042.53
5.13,217801707960.65,10082.78
6.13,206930541347.54,10029.03
4.82,208400603261.48,10034.20
5.01,209965117826.32,10001.24
4.97,209195673704.23,10059.05
4.97,205444412701.98,10038.17
4.88,214706017947.09,10007.18
4.90,215076978767.96,10034.75
4.20,204771722669.51,10045.37
5.06,204531480178.51,10030.24
4.87,210923557799.85,10047.44
4.95,215584177309.19,10066.22
4.88,216504825509.78,10080.88
5.68,217941711946.93,10088.42
4.09,213306110275.64,10075.58
6.45,209274397632.70,10022.42
5.55,202735343619.58,10039.44
5.04,218377495362.20,10053.58
4.34,217783157990.03,10070.87
5.18,200808865642.52,10049.34
5.00,215853691160.81,10000.22
4.59,202285045349.82,10016.23
5.02,204244041302.88,10072.67
4.44,219062221735.07,10044.15
4.98,208427801661.36,10030.33
5.29,214218509924.96,10048.87
4.79,206505766834.13,10033.46
5.62,200437537464.19,10013.50
5.08,209909500381.73,10045.41
4.50,211173591751.77,10099.54
5.90,209708374517.89,10010.22
5.89,216342949580.97,10018.74
4.67,215794152243.43,10052.29
4.51,218668694690.73,10059.19
4.88,218777726622.31,10047.75
4.73,216415278967.99,10088.97
4.64,205538997883.51,10091.50
5.21,204610426072.83,10053.21
5.04,207251079217.24,10026.16
4.91,210641443098.70,10056.59
6.52,212884983867.93,10021.52
4.89,205387359970.13,10086.06
5.14,215523041015.58,10044.26
5.48,202036394131.88,10013.47
5.85,204118637645.66,10046.93
5.90,217507621259.45,10081.27
5.55,214446767093.10,10010.31
4.81,219347891508.24,10055.82
4.81,201746295207.19,10059.13
4.29,218473935702.18,10079.25
4.89,217634953199.05,10049.21
4.27,200501654632.85,10093.50
4.58,216893787024.05,10098.61
4.91,219469848947.92,10089.64
6.94,218874000447.50,10057.30
5.43,203678708251.62,10075.14
5.40,207640579483.20,10015.70
5.43,202738111617.47,10031.83
4.81,203661159161.89,10012.93
4.99,209507624924.96,10043.30
4.26,212277698809.26,10099.71
5.31,202988484488.70,10014.36
4.90,208091573920.28,10025.70
5.41,201257992747.68,10097.31
5.39,212972171046.66,10027.82
4.99,205522554188.70,10052.60
5.55,219353448424.17,10000.28
4.90,202084478547.60,10067.74
4.89,212561139536.17,10008.46
5.11,216530930540.08,10037.17
3.76,212564099543.93,10074.57
5.39,201973370830.79,10080.22
4.43,210211190338.78,10084.62
4.47,208749704861.37,10052.61
3.98,202732540792.66,10005.74
5.12,201916142898.46,10071.76
4.92,217535335916.02,10007.42
5.34,202447098717.61,10029.41
4.62,204136918667.94,10003.96
4.53,215144384399.13,10049.41
5.18,218654117911.84,10023.40
5.07,218674917092.92,10062.07
4.49,213325091233.35,10029.78
5.31,215940780205.98,10006.90
4.16,203157617945.65,10032.86
5.39,206465083843.86,10037.02
4.27,218662819990.48,10020.13
4.12,213455754729.61,10003.16
4.20,211197536085.13,10064.70
4.45,215181742401.95,10013.60
4.65,216459581901.91,10020.93
5.21,208846528061.30,10017.91
5.20,201956027882.84,10068.97
5.10,206884931371.79,10074.99
4.22,205471906886.78,10071.54
6.37,211768686918.45,10027.08
4.63,209512225090.73,10009.26
3.76,208138871995.60,10011.14
4.91,211374249435.32,10076.01
5.32,214960071973.53,10077.59
4.64,209378246385.58,10089.16
4.43,212011035428.59,10073.00
5.26,203993811437.95,10072.64
4.38,209087093330.15,10030.93
5.98,200305302753.62,10083.51
5.72,215539576142.49,10091.47
4.83,206441250284.97,10025.10
4.58,211026706387.72,10078.10
5.66,216222106687.68,10090.03
5.19,210906425715.79,10018.78
5.12,211734755370.19,10081.85
4.89,212792320670.12,10019.40
4.13,210057275269.24,10039.85
4.51,211352620936.80,10058.17
4.93,200141681452.42,10050.79
5.57,201266602682.98,10042.59
5.66,212241765880.23,10042.48
4.59,209736214567.22,10035.24
4.73,219433960936.76,10068.02
5.22,208429299897.99,10016.39
5.79,205027458231.06,10028.61
4.94,210502608179.19,10001.74
5.03,218641684878.64,10074.43
4.38,203874594557.64,10027.33
5.04,213091728274.98,10091.72
4.75,217901051519.78,10099.18
4.17,206255783495.52,10090.18
3.92,206522594166.19,10041.35
4.78,211955927332.56,10031.21
4.78,219897757658.90,10027.47
5.11,205559079046.48,10070.07
4.31,215062727432.94,10022.76
4.69,201762608586.82,10029.97
5.41,216548772441.82,10035.67
5.48,201090934713.80,10087.85
5.08,207575286303.24,10042.31
4.52,206204298222.63,10083.30
5.08,211795579140.37,10028.09
4.28,214888125099.40,10003.11
4.64,201689384868.02,10071.90
4.45,214136673454.97,10054.50
4.78,206680417823.63,10087.67
6.04,214487752584.72,10065.47
4.55,215593038168.92,10051.75
4.59,219228384900.83,10055.90
4.64,213965258952.05,10049.78
5.47,218163649312.57,10073.67
5.30,213315450438.24,10069.08
5.13,214064291753.36,10045.04
4.88,216820696690.59,10000.93
5.00,213790135501.96,10084.71
5.25,217293013628.25,10065.57
4.56,219324922693.48,10084.98
5.29,202850911393.96,10073.46
3.76,217670975481.21,10024.42
6.04,207297566597.66,10030.29
5.10,201298793096.97,10050.52
5.27,212756549461.54,10087.25
4.88,207580084434.33,10010.11
4.84,215911692236.87,10036.68
5.16,217030389898.61,10058.45
4.27,213615439549.02,10048.61
5.10,211480731800.49,10026.08
5.44,216414368375.13,10094.35
5.88,216877929994.05,10036.31
4.65,202463170983.24,10016.33
5.45,205647787250.58,10058.99
5.00,218025769381.43,10091.48
5.14,204908062983.26,10061.61
6.55,218377360833.76,10019.91
4.83,212618890149.94,10036.24
4.46,216830500871.73,10054.42
5.73,213427005496.81,10088.95
5.10,211683959071.63,10095.18
5.92,203161469066.81,10084.83
5.22,210551643546.45,10093.67
4.65,215054646123.80,10008.99
4.83,207163952467.40,10090.75
5.17,205027989681.35,10047.16
4.83,218614781042.35,10033.74
4.68,205997005424.23,10010.85
4.53,213166212995.90,10038.14
4.73,207456441838.95,10091.31
4.51,211308012002.67,10072.17
5.96,214587410235.12,10024.30
5.25,211096624273.69,10050.77
4.58,201745835366.51,10048.94
5.49,215097995003.57,10002.85
5.48,207860806419.79,10080.64
5.16,217952331824.17,10015.62
4.29,216250812542.59,10057.38
5.76,213789773901.87,10048.93
5.21,207841988398.71,10014.19
4.67,212108084200.80,10013.04
5.24,205091939905.31,10005.40
5.58,200931825051.42,10064.24
4.82,214774133633.31,10060.39
4.95,210955141379.42,10026.07
4.74,218840791672.50,10080.15
5.09,213057613888.77,10080.84
4.87,202365203671.85,10099.01
5.51,209750914898.91,10018.31
4.89,202569978613.85,10046.35
6.07,208063353507.00,10007.20
3.94,201417854255.80,10045.63
5.55,210744245727.11,10067.41
4.57,208326318076.00,10000.70
4.85,208580588536.68,10005.91
5.24,215241754167.68,10013.64
5.31,203275772672.63,10013.78
4.45,212999132384.52,10044.04
5.03,202157146643.13,10015.42
4.84,216285694954.82,10004.20
5.29,206718263370.44,10008.58
4.60,214509659986.55,10031.88
4.85,215441277776.04,10032.29
5.17,218369877576.70,10082.30
5.10,217720267077.18,10030.83
4.80,218219746894.37,10096.86
4.67,215832717570.88,10075.14
4.88,218727975751.72,10040.46
5.27,215346917549.86,10001.86
5.67,205978892049.74,10099.15
5.79,212452508918.27,10021.05
4.44,200616143315.90,10063.29
5.72,203200009940.99,10041.29
4.86,206953636620.26,10067.91
4.90,201069490665.46,10002.17
4.76,219548790885.06,10090.64
5.36,200138182490.68,10063.92
5.80,219407122063.80,10068.36
5.42,209857210812.18,10059.96
5.21,204046951325.56,10010.16
5.16,213487313833.93,10090.60
4.77,213006238410.90,10073.69
4.75,216131446227.03,10098.61
5.52,202524019615.00,10059.93
5.24,201741902587.91,10024.44
5.63,208378324994.67,10007.11
4.84,211903043986.40,10095.27
5.10,219772558578.79,10056.82
5.63,211166972490.00,10005.48
5.29,215085318593.53,10081.39
5.40,206590711173.27,10052.71
5.52,217800762471.97,10037.71
5.03,203610015669.79,10017.50
4.92,216844344997.69,10019.87
5.17,213280237779.66,10059.51
5.76,203518381797.99,10063.86
4.77,216549532854.93,10015.21
5.24,214298962178.34,10051.89
4.74,210907796539.69,10028.65
5.16,213228398184.19,10024.20
4.90,216537224408.78,10081.35
4.20,202388896841.88,10018.39
5.04,213160401407.94,10068.28
5.87,219272046594.18,10043.94
4.98,211542904979.93,10081.69
5.10,211951454522.68,10057.33
6.10,219319702630.12,10049.39
6.00,202344423654.07,10025.05
4.51,201700824402.25,10044.54
5.06,206695973680.89,10024.22
4.77,205486127135.79,10013.49
4.45,211901510584.73,10053.66
5.05,200574326565.29,10022.15
4.73,212799712199.76,10091.33
